Команда,Соперник,Победитель
Qatar,Ecuador,Ecuador
England,Iran,England
Senegal,Netherlands,Netherlands
United States,Wales,main draw
Argentina,Saudi Arabia,Saudi Arabia
Denmark,Tunisia,main draw
Mexico,Poland,main draw
France,Australia,France
Morocco,Croatia,main draw
Germany,Japan,Japan
Spain,Costa Rica,Spain
Belgium,Canada,Belgium
Switzerland,Cameroon,Switzerland
Uruguay,Korea Republic,main draw
Portugal,Ghana,Portugal
Brazil,Serbia,Brazil
Wales,Iran,Iran
Qatar,Senegal,Senegal
Netherlands,Ecuador,main draw
England,United States,main draw
Tunisia,Australia,Australia
Poland,Saudi Arabia,Poland
France,Denmark,France
Argentina,Mexico,Argentina
Japan,Costa Rica,Costa Rica
Belgium,Morocco,Morocco
Croatia,Canada,Croatia
Spain,Germany,main draw
Cameroon,Serbia,main draw
Korea Republic,Ghana,Ghana
Brazil,Switzerland,Brazil
Portugal,Uruguay,Portugal
Ecuador,Senegal,Senegal
Netherlands,Qatar,Netherlands
Wales,England,England
Iran,United States,United States
Australia,Denmark,Australia
Tunisia,France,Tunisia
Saudi Arabia,Mexico,Mexico
Poland,Argentina,Argentina
Canada,Morocco,Morocco
Croatia,Belgium,main draw
Japan,Spain,Japan
Costa Rica,Germany,Germany
Ghana,Uruguay,Uruguay
Korea Republic,Portugal,Korea Republic
Serbia,Switzerland,Switzerland
Cameroon,Brazil,Cameroon
Netherlands,United States,Netherlands
Argentina,Australia,Argentina
France,Poland,France
England,Senegal,England
Japan,Croatia,Croatia
Brazil,Korea Republic,Brazil
Morocco,Spain,Morocco
Portugal,Switzerland,Portugal
Croatia,Brazil,Croatia
Netherlands,Argentina,Argentina
Morocco,Portugal,Morocco
England,France,France
Argentina,Croatia,Argentina
